Page,City,Postal Code,Type,Price,Rooms,Bedrooms,Size,Price per m²
0,Lesquin,59810,Maison/Villa,379000.0,6,4.0,120.0,3158.3333333333335
0,Lesquin,59810,Maison/Villa,479000.0,5,3.0,208.0,2302.8846153846152
0,Lesquin,59810,Maison/Villa,299000.0,4,3.0,130.0,2300.0
0,Lesquin,59810,Projet de construction,160420.0,3,2.0,75.0,2138.9333333333334
0,Lesquin,59810,Projet de construction,166500.0,3,2.0,67.0,2485.0746268656717
0,Lesquin,59810,Projet de construction,255100.0,6,4.0,137.0,1862.043795620438
0,Lesquin,59810,Appartement,185500.0,3,2.0,60.0,3091.6666666666665
0,Lesquin,59810,Appartement,158500.0,4,3.0,68.0,2330.8823529411766
0,Lesquin,59810,Projet de construction,156900.0,3,2.0,65.0,2413.846153846154
0,Lesquin,59810,Projet de construction,241300.0,6,4.0,122.0,1977.8688524590164
0,Lesquin,59810,Maison/Villa,483000.0,5,3.0,220.0,2195.4545454545455
0,Lesquin,59810,Projet de construction,171400.0,3,2.0,74.0,2316.2162162162163
0,Lesquin,59810,Maison/Villa,379000.0,5,4.0,123.0,3081.3008130081303
0,Lesquin,59810,Appartement,210000.0,3,2.0,62.0,3387.0967741935483
0,Lesquin,59810,Maison/Villa,240000.0,5,3.0,85.0,2823.529411764706
0,Lesquin,59810,Maison/Villa,379000.0,6,4.0,116.0,3267.2413793103447
1,Faches-Thumesnil ,59155,Appartement neuf,213500.0,4,3.0,83.0,2572.289156626506
1,Faches-Thumesnil ,59155,Appartement neuf,167000.0,3,2.0,67.0,2492.5373134328356
1,Faches-Thumesnil ,59155,Projet de construction,359900.0,6,4.0,131.0,2747.328244274809
1,Faches-Thumesnil ,59155,Maison/Villa,179000.0,5,4.0,95.0,1884.2105263157894
1,Faches-Thumesnil ,59155,Maison/Villa,264250.0,3,2.0,72.0,3670.1388888888887
1,Faches-Thumesnil ,59155,Projet de construction,507400.0,6,4.0,132.0,3843.939393939394
1,Faches-Thumesnil ,59155,Maison/Villa,193000.0,4,3.0,80.0,2412.5
1,Faches-Thumesnil ,59155,Maison/Villa,145000.0,4,3.0,95.0,1526.3157894736842
1,Faches-Thumesnil ,59155,Appartement,149000.0,3,2.0,81.0,1839.5061728395062
1,Faches-Thumesnil ,59155,Appartement,114500.0,3,2.0,60.0,1908.3333333333333
1,Faches-Thumesnil ,59155,Projet de construction,352000.0,6,4.0,136.0,2588.235294117647
1,Faches-Thumesnil ,59155,Appartement,166150.0,3,2.0,63.0,2637.3015873015875
1,Faches-Thumesnil ,59155,Maison/Villa,251000.0,4,3.0,80.0,3137.5
1,Faches-Thumesnil ,59155,Appartement,128000.0,3,2.0,61.0,2098.3606557377047
1,Faches-Thumesnil ,59155,Appartement,224000.0,3,2.0,61.0,3672.1311475409834
1,Faches-Thumesnil ,59155,Appartement,163650.0,4,2.0,80.0,2045.625
1,Faches-Thumesnil ,59155,Appartement,212000.0,4,3.0,80.0,2650.0
1,Faches-Thumesnil ,59155,Maison/Villa,295000.0,5,3.0,100.0,2950.0
1,Faches-Thumesnil ,59155,Appartement,149000.0,3,2.0,81.0,1839.5061728395062
1,Faches-Thumesnil ,59155,Maison/Villa,170000.0,5,4.0,130.0,1307.6923076923076
1,Faches-Thumesnil ,59155,Maison/Villa,184000.0,4,3.0,72.0,2555.5555555555557
2,Faches-Thumesnil ,59155,Appartement neuf,225500.0,4,3.0,89.0,2533.7078651685392
2,Faches-Thumesnil ,59155,Appartement neuf,219000.0,4,3.0,80.0,2737.5
2,Faches-Thumesnil ,59155,Appartement neuf,165300.0,3,2.0,66.0,2504.5454545454545
2,Faches-Thumesnil ,59155,Appartement neuf,165300.0,3,2.0,66.0,2504.5454545454545
2,Faches-Thumesnil ,59155,Appartement neuf,174000.0,3,2.0,62.0,2806.451612903226
2,Faches-Thumesnil ,59155,Appartement neuf,167000.0,3,2.0,68.0,2455.8823529411766
2,Faches-Thumesnil ,59155,Appartement neuf,223000.0,4,3.0,79.0,2822.784810126582
2,Faches-Thumesnil ,59155,Maison/Villa,108500.0,1,1.0,41.0,2646.3414634146343
2,Faches-Thumesnil ,59155,Appartement neuf,217000.0,4,3.0,80.0,2712.5
2,Faches-Thumesnil ,59155,Appartement neuf,163300.0,3,2.0,62.0,2633.8709677419356
2,Faches-Thumesnil ,59155,Appartement neuf,226000.0,4,3.0,89.0,2539.325842696629
2,Faches-Thumesnil ,59155,Appartement neuf,166300.0,3,2.0,66.0,2519.6969696969695
2,Faches-Thumesnil ,59155,Appartement neuf,162300.0,3,2.0,59.0,2750.8474576271187
2,Faches-Thumesnil ,59155,Appartement neuf,164300.0,3,2.0,66.0,2489.3939393939395
2,Faches-Thumesnil ,59155,Appartement neuf,161300.0,3,2.0,59.0,2733.898305084746
2,Faches-Thumesnil ,59155,Appartement neuf,164300.0,3,2.0,62.0,2650.0
2,Faches-Thumesnil ,59155,Appartement neuf,164300.0,3,2.0,62.0,2650.0
2,Faches-Thumesnil ,59155,Appartement neuf,224000.0,4,3.0,89.0,2516.85393258427
2,Faches-Thumesnil ,59155,Appartement neuf,224000.0,4,3.0,89.0,2516.85393258427
2,Faches-Thumesnil ,59155,Appartement neuf,167000.0,3,2.0,66.0,2530.3030303030305
2,Faches-Thumesnil ,59155,Appartement neuf,223000.0,4,3.0,80.0,2787.5
2,Faches-Thumesnil ,59155,Maison/Villa,95000.0,3,2.0,58.0,1637.9310344827586
